Asset,Method,Pivot,T_obs,LogLik,Converged,AIC,BIC,Persist_S1,Persist_S2
IEI,gray,^TNX,2810,1891.7133328527214,True,-3759.4266657054427,-3688.135388557509,0.9957000556083209,0.0002
IEI,plugin,^TNX,2810,1994.267175401499,False,-3964.534350802998,-3893.243073655064,0.0002,0.9999979577875572
IEI,quadrature,^TNX,2810,1893.2096376481948,True,-3762.4192752963895,-3691.127998148456,0.8552007792834722,0.0002
IEI,particle,^TNX,2810,-1693.2740154393625,False,3410.548030878725,3481.8393080266587,0.7999999999999999,0.8
TLT,gray,^TNX,2810,-1170.4042707640222,True,2364.8085415280443,2436.099818675978,0.9935431725504543,0.0002
TLT,plugin,^TNX,2810,-926.61469859244,True,1877.22939718488,1948.5206743328135,0.9999983293223619,0.0002
TLT,quadrature,^TNX,2810,-1193.5070623451347,True,2411.0141246902695,2482.305401838203,0.9978949970670495,0.0002
TLT,particle,^TNX,2810,-3339.225871592756,True,6702.451743185512,6773.743020333445,0.7999997034797298,0.7999996862663112
BNDX,gray,^TNX,2810,1874.1068341946727,True,-3724.2136683893455,-3652.922391241412,0.9978082099126213,0.0002
BNDX,plugin,^TNX,2810,1965.7544716370546,True,-3907.5089432741092,-3836.2176661261756,0.0013019684406012169,0.9995680268738749
BNDX,quadrature,^TNX,2810,1871.4503189164204,True,-3718.900637832841,-3647.609360684907,0.8547400327191366,0.0002
BNDX,particle,^TNX,2810,-1707.5003462208533,False,3439.0006924417066,3510.2919695896403,0.7999999999999999,0.8
LQD,gray,^TNX,2810,316.5291548361378,True,-609.0583096722756,-537.7670325243421,0.9999867719743216,0.0002
LQD,plugin,^TNX,2810,467.55270070010283,True,-911.1054014002057,-839.8141242522722,0.9999978176830788,0.0002
LQD,quadrature,^TNX,2810,275.6291083205018,True,-527.2582166410036,-455.96693949307013,0.9999974190220834,0.0002
LQD,particle,^TNX,2810,-2165.8635946651098,False,4355.7271893302195,4427.018466478153,0.7999999999999999,0.8
HYG,gray,^TNX,2810,270.3613484937493,True,-516.7226969874986,-445.4314198395651,0.9999935719004218,0.30810356825794516
HYG,plugin,^TNX,2810,745.5995118178572,False,-1467.1990236357144,-1395.907746487781,0.9999999964001596,0.0002
HYG,quadrature,^TNX,2810,260.5441842841202,True,-497.0883685682404,-425.7970914203069,0.99999990809082,0.4031269274646762
HYG,particle,^TNX,2810,-2060.9293942492773,True,4145.8587884985545,4217.150065646488,0.8000001002214505,0.7999999198428838
