Asset,Method,T_obs,LogLik,Converged,AIC,BIC,Persist_S1,Persist_S2
ETH-USD,gray,2810,-8106.682607890892,True,16233.365215781783,16292.774613405061,0.959839536519089,0.9984867728068973
ETH-USD,plugin,2810,-8073.572077867964,False,16167.144155735929,16226.553553359206,0.9999728848020719,0.9077008726922193
ETH-USD,quadrature,2810,-8120.743217295682,True,16261.486434591365,16320.895832214643,0.9999571647630712,0.9427102421763286
ETH-USD,particle,2810,-9075.702099532713,True,18171.404199065426,18230.813596688702,0.900000005849362,0.8600004195412183
LTC-USD,gray,2810,-8316.544789550566,False,16653.08957910113,16712.498976724408,0.9995392712239541,0.9383284493215371
LTC-USD,plugin,2810,-8269.21281324636,False,16558.42562649272,16617.835024115997,0.9999691545267789,0.9154261943459048
LTC-USD,quadrature,2810,-8317.05888472644,False,16654.11776945288,16713.527167076158,0.9999236946620514,0.9397874275052002
LTC-USD,particle,2810,-9342.673264438776,False,18705.34652887755,18764.755926500828,0.8999973425795021,0.860000134144128
XRP-USD,gray,2810,-9143.44614521933,False,18306.89229043866,18366.301688061936,0.9331889362110608,0.9998624953801579
XRP-USD,plugin,2810,-8822.000653668256,False,17664.00130733651,17723.410704959788,0.9996888558041004,0.9273490732180025
XRP-USD,quadrature,2810,-8514.518260026513,False,17049.036520053025,17108.4459176763,0.9997220391031825,0.9423057997866471
XRP-USD,particle,2810,-10373.341933387568,True,20766.683866775136,20826.093264398412,0.8999999998082475,0.8599999998167719
DOGE-USD,gray,2810,-8752.6375837707,False,17525.2751675414,17584.684565164676,0.99982921045259,0.963732646798634
DOGE-USD,plugin,2810,-8613.45319717735,False,17246.9063943547,17306.315791977977,0.9999962968771801,0.8886870755632309
DOGE-USD,quadrature,2810,-9069.313381513322,False,18158.626763026645,18218.03616064992,0.9499598793201534,0.9947740492789321
DOGE-USD,particle,2810,-10260.145187524833,False,20540.290375049666,20599.699772672942,0.9,0.86
NMC-USD,gray,2810,-9126.193695950502,False,18272.387391901004,18331.79678952428,0.998224407656342,0.923144500876719
NMC-USD,plugin,2810,-9326.535489007329,False,18673.070978014657,18732.480375637933,0.9990016835681659,0.9289388927803643
NMC-USD,quadrature,2810,-9121.905567014213,False,18263.811134028427,18323.220531651703,0.998601743790054,0.9196958355604171
NMC-USD,particle,2810,-10525.649943734792,True,21071.299887469584,21130.70928509286,0.8999999988371814,0.8600000238651748
BTC-USD,gray,2810,-7297.707972486205,True,14615.41594497241,14674.825342595688,0.930014590722835,0.9991934250549006
BTC-USD,plugin,2810,-7232.321824576071,False,14484.643649152142,14544.05304677542,0.9992644365881912,0.8970266169245187
BTC-USD,quadrature,2810,-7297.608079359206,False,14615.216158718413,14674.62555634169,0.9262399534445407,0.9949281451247471
BTC-USD,particle,2810,-7853.800294428275,True,15727.60058885655,15787.009986479829,0.900000000181074,0.8599984431256184
