Asset,Method,Pivot,T_obs,LogLik,Converged,AIC,BIC,Persist_S1,Persist_S2
ETH-USD,gray,BTC-USD,2810,-8072.600548614084,True,16169.201097228168,16240.492374376101,0.9603838039124908,0.9990731738273768
ETH-USD,plugin,BTC-USD,2810,-8295.235339129635,False,16614.47067825927,16685.761955407204,0.9081650309911916,0.9899870332329276
ETH-USD,quadrature,BTC-USD,2810,-8072.246272516449,True,16168.492545032897,16239.78382218083,0.9608441573678748,0.9986839351186231
ETH-USD,particle,BTC-USD,2810,-9071.615650404847,True,18167.231300809693,18238.52257795763,0.9000000990051226,0.8600001107417424
LTC-USD,gray,BTC-USD,2810,-8292.094802369376,True,16608.189604738753,16679.480881886688,0.9845013472677038,0.9961576322894979
LTC-USD,plugin,BTC-USD,2810,-8471.667011816968,False,16967.334023633935,17038.62530078187,0.9521466599657094,0.9984640662725468
LTC-USD,quadrature,BTC-USD,2810,-8291.687142139066,True,16607.374284278132,16678.665561426067,0.9864751056596187,0.9993751414683761
LTC-USD,particle,BTC-USD,2810,-9342.779211366602,False,18709.558422733204,18780.84969988114,0.9,0.86
XRP-USD,gray,BTC-USD,2810,-8520.389591593323,False,17064.779183186645,17136.07046033458,0.9350252293796676,0.996148661737321
XRP-USD,plugin,BTC-USD,2810,-8686.176692400546,False,17396.353384801092,17467.644661949027,0.9997694497275611,0.9176833325074483
XRP-USD,quadrature,BTC-USD,2810,-8507.943008998427,True,17039.886017996854,17111.17729514479,0.9455450976145475,0.9998986458946899
XRP-USD,particle,BTC-USD,2810,-10360.164677958004,True,20744.32935591601,20815.620633063943,0.9005799617739542,0.8600221137976344
DOGE-USD,gray,BTC-USD,2810,-8743.136090671516,False,17510.272181343033,17581.563458490968,0.9994185247670893,0.9388546434261429
DOGE-USD,plugin,BTC-USD,2810,-8872.355342261353,False,17768.710684522706,17840.00196167064,0.9508401724734782,0.9998435042729193
DOGE-USD,quadrature,BTC-USD,2810,-8741.702396451808,True,17507.404792903617,17578.696070051552,0.9999779737779991,0.9376135456684822
DOGE-USD,particle,BTC-USD,2810,-10266.083412676739,True,20556.166825353477,20627.458102501412,0.899995041153024,0.8600064475837054
NMC-USD,gray,BTC-USD,2810,-9025.39199706928,True,18074.78399413856,18146.075271286496,0.9677715612346597,0.9996744302497332
NMC-USD,plugin,BTC-USD,2810,-9005.874464353168,False,18035.748928706336,18107.04020585427,0.9997296199773394,0.9064589550772688
NMC-USD,quadrature,BTC-USD,2810,-8987.099298021785,True,17998.19859604357,18069.489873191505,0.99997258896873,0.7199167881604391
NMC-USD,particle,BTC-USD,2810,-10527.210363232649,True,21078.420726465298,21149.712003613233,0.9000000000428072,0.8600000171657205
