Asset,Method,T_obs,LogLik,Converged,AIC,BIC,Persist_S1,Persist_S2
ES=F,gray,2810,-3363.5738624088303,True,6747.147724817661,6806.557122440939,0.9996343207181235,0.717287439069516
ES=F,plugin,2810,-1095.350875196617,True,2210.701750393234,2270.111148016512,0.9991603639416072,0.0002
ES=F,quadrature,2810,-2011.9345159277675,False,4043.869031855535,4103.2784294788125,0.9992344688695786,0.09023114641322329
ES=F,particle,2810,-3564.019415404822,True,7148.038830809644,7207.448228432922,0.8000000006620851,0.8000000065882924
NQ=F,gray,2810,-4168.199866514105,True,8356.39973302821,8415.809130651489,0.9745749172806676,0.7780031357066601
NQ=F,plugin,2810,-1708.5302240441215,True,3437.060448088243,3496.469845711521,0.0002,0.9987348138669028
NQ=F,quadrature,2810,-4142.409666689971,False,8304.819333379943,8364.22873100322,0.9991994849849879,0.276814385247976
NQ=F,particle,2810,-4346.953545577101,True,8713.907091154202,8773.31648877748,0.8999992763559181,0.8600001106456562
^VIX,gray,2810,-9369.61469685799,False,18759.22939371598,18818.638791339257,0.9987275842744018,0.9242564286786872
^VIX,plugin,2810,-9248.850400051051,False,18517.700800102102,18577.11019772538,0.9981048749871371,0.901474756105348
^VIX,quadrature,2810,-9364.193366732286,False,18748.386733464573,18807.79613108785,0.9999703033090902,0.9263417514224112
^VIX,particle,2810,-11098.09271482286,True,22216.18542964572,22275.594827268997,0.9000001276105769,0.8600001332821582
GC=F,gray,2810,-1105.492834333723,True,2230.985668667446,2290.395066290724,0.04829068039090914,0.0002
GC=F,plugin,2810,-884.7278561825857,True,1789.4557123651714,1848.8651099884494,0.9848047569413696,0.0002
GC=F,quadrature,2810,-1130.0079825705782,True,2280.0159651411564,2339.4253627644343,0.04939492552995146,0.0002
GC=F,particle,2810,-3267.320745061496,True,6554.641490122992,6614.05088774627,0.800000386001736,0.800000356761426
CL=F,gray,2810,-5807.485727952662,True,11634.971455905325,11694.380853528603,0.9984924500346775,0.6713957061708798
CL=F,plugin,2810,-5767.889423883028,False,11555.778847766056,11615.188245389334,0.9999221069872943,0.8223811743303061
CL=F,quadrature,2810,-5819.907870344676,True,11659.815740689352,11719.22513831263,0.9763713477869742,0.9984369045851436
CL=F,particle,2810,-5874.107132510992,True,11768.214265021985,11827.623662645263,0.900001119205255,0.8600000330719
BTC=F,gray,2810,-7441.634535037398,True,14903.269070074795,14962.678467698073,0.9040525236865815,0.9940286237895565
BTC=F,plugin,2810,-7692.152226073447,False,15404.304452146895,15463.713849770173,0.9825975042395906,0.8683244234428726
BTC=F,quadrature,2810,-7441.908579906773,True,14903.817159813547,14963.226557436825,0.9037307279826834,0.9933634418256949
BTC=F,particle,2810,-8163.697282633321,False,16347.394565266643,16406.80396288992,0.9000000033843827,0.8599999967667864
