Asset,Method,c1,c2,g1,g2,w1,a1,b1,w2,a2,b2,p11,p22
ES=F,gray,-0.22976506930376436,0.12488046598001029,0.0,0.0,0.3381951064505513,0.16472630270146296,0.8349080180166606,0.0001,0.07880282593678377,0.6384846131327322,0.8468366980367013,0.9184005128727856
ES=F,plugin,0.03928951337487982,7.456259541708022e-05,0.0,0.0,0.09896228139424054,0.23352551824752074,0.7656348456940865,0.0001,0.0001,0.0001,0.8016956159799676,0.49776669371817805
ES=F,quadrature,-0.02991681905134192,-0.0004895763053026258,0.0,0.0,0.3765185417470045,0.20553201074453697,0.7937024581250416,0.0001,0.09013114641322328,0.0001,0.6221022873609089,0.4309511862548643
ES=F,particle,-3.293233346607207e-08,3.293434694238811e-08,0.0,0.0,0.09999999935100598,0.09999999934381301,0.7000000013182721,0.2000000118567402,0.20000000461132098,0.6000000019769715,0.9000000005934233,0.9000000005994093
NQ=F,gray,-0.49562574944822735,0.14696676468970038,0.0,0.0,0.7317301236554506,0.07457491728066755,0.9,0.0001,0.0001,0.7779031357066601,0.8628916563851161,0.9609234265118942
NQ=F,plugin,-0.00015505863236645197,0.1257188650748661,0.0,0.0,0.0001,0.0001,0.0001,0.20997462717342752,0.244868862679749,0.7538659511871538,0.5117050711041743,0.7428689532338367
NQ=F,quadrature,-0.24322584268728759,0.0004202746176723768,0.0,0.0,0.9613544904847063,0.17995835528631515,0.8192411296986728,0.03518869748980284,0.09091825342559695,0.18589613182237907,0.5977021218489893,0.7401556068906563
NQ=F,particle,-2.298307297315139e-06,2.118792369880317e-06,0.0,0.0,0.2999997717476119,0.049999786386966984,0.8499994899689511,0.0999998223018557,0.08000035915352001,0.7799997514921362,0.9499993160415586,0.8000000836108739
^VIX,gray,0.35296099149161764,0.3507424162291037,0.0,0.0,0.4207169244885414,0.11114070140870595,0.8875868828656959,0.23398819509960472,0.13122002407478897,0.7930364046038982,0.9664320432663599,0.742311746661684
^VIX,plugin,0.301531636231057,-0.30156849916287903,0.0,0.0,0.4032175038549294,0.10866190612235099,0.889442968864786,0.21418965092472775,0.11882972519846685,0.7826450309068812,0.9512944647406437,0.7524784114166121
^VIX,quadrature,0.35512724924307815,0.2797212806294162,0.0,0.0,0.4243412506442063,0.11262572926964631,0.8873445740394439,0.23802975927146042,0.1331725668970883,0.7931691845253228,0.9657423902676486,0.7407317749059094
^VIX,particle,7.089476495287311e-07,7.089476495287311e-07,0.0,0.0,0.30000024104220085,0.05000012052110042,0.8500000070894764,0.10000026940010683,0.08000011626741453,0.7800000170147436,0.9500000056715812,0.8000000269400107
GC=F,gray,0.04821376612174492,0.00021709631461283184,0.0,0.0,0.8256505157192388,0.04819068039090914,0.0001,0.0001,0.0001,0.0001,0.749438638740178,0.5474236862890209
GC=F,plugin,0.0356751727038829,0.00012120689033186882,0.0,0.0,0.041601815427487934,0.08480475694136956,0.9,0.0001,0.0001,0.0001,0.759763548001633,0.5127005732830503
GC=F,quadrature,0.049663680183049404,0.00023401892764359243,0.0,0.0,0.8320830576900241,0.049294925529951454,0.0001,0.0001,0.0001,0.0001,0.7491391073335305,0.5463595756202168
GC=F,particle,1.9518320978143883e-06,1.9540777327858917e-06,0.0,0.0,0.10000072374456676,0.100000318868002,0.700000067133734,0.2000006998835066,0.2000002671535432,0.6000000896078828,0.9000000427613466,0.8999999869876081
CL=F,gray,-0.10287662945203528,0.47378915957579926,0.0,0.0,0.2855281239287367,0.09849245003467742,0.9,0.0001,0.16126659682208952,0.5101291093487903,0.9353466145042125,0.6839967502082133
CL=F,plugin,-0.05398658806303507,0.01253159696188495,0.0,0.0,0.5635456592533951,0.19404361952032873,0.8058784874669656,0.3725367876124848,0.2064599915084431,0.615921182821863,0.7589964398858675,0.9173359271151871
CL=F,quadrature,0.058717085360299404,0.07033499989077147,0.0,0.0,0.08463020801464514,0.07637134778697413,0.9,0.23527452037678728,0.21641794049434446,0.7820189640907991,0.99,0.826171414753906
CL=F,particle,6.164111798807193e-06,6.1619744552746706e-06,0.0,0.0,0.3000021012538195,0.050001051305581704,0.8500000678996733,0.10000234519825059,0.08000100403108915,0.7799990290408109,0.9500000619039776,0.7999990208546247
BTC=F,gray,0.41074447636847305,-0.17789545269889717,0.0,0.0,0.6991912803962514,0.0040525236865815335,0.9,0.5714868638469355,0.11564310050729118,0.8783855232822653,0.8168765422932567,0.7175251751554408
BTC=F,plugin,0.7002009886535823,0.6943643138984044,0.0,0.0,0.7113687297273178,0.2689001567418742,0.7136973474977164,0.6196189690828695,0.27782482664102676,0.5904995968018459,0.7869174168797555,0.8226442214032099
BTC=F,quadrature,0.4257018312140376,-0.15595879054253034,0.0,0.0,0.6955839009433024,0.00373072798268341,0.9,0.5464252943310789,0.10973855519517227,0.8836248866305226,0.8763966758073221,0.8495280908423157
BTC=F,particle,-1.880212586335237e-08,1.880212586335237e-08,0.0,0.0,0.2999999988722485,0.0500000031963614,0.8500000001880212,0.10000000714480783,0.07999999969954202,0.7799999970672444,0.9499999964652003,0.7999999970292642
