Asset,Method,Pivot,T_obs,LogLik,Converged,AIC,BIC,Persist_S1,Persist_S2
ES=F,gray,BTC=F,2810,-3375.417704998809,True,6774.835409997618,6846.126687145551,0.9998534990989623,0.4083478824749084
ES=F,plugin,BTC=F,2810,-1108.9074135877665,True,2241.814827175533,2313.1061043234668,0.0002,0.9999936697291019
ES=F,quadrature,BTC=F,2810,-3291.804117709997,False,6607.608235419994,6678.899512567928,0.9998737299798642,0.23242331999825228
ES=F,particle,BTC=F,2810,-3789.139707285699,False,7602.279414571398,7673.570691719331,0.9000000000338588,0.8600003182737148
NQ=F,gray,BTC=F,2810,-4259.784806648281,False,8543.569613296562,8614.860890444495,0.99987152970049,0.8056691738096369
NQ=F,plugin,BTC=F,2810,-1717.3314267289836,True,3458.6628534579672,3529.954130605901,0.0002,0.9999985466095419
NQ=F,quadrature,BTC=F,2810,-4300.291987951665,False,8624.58397590333,8695.875253051263,0.9983000772288788,0.7738506125470623
NQ=F,particle,BTC=F,2810,-4390.333200274251,True,8804.666400548502,8875.957677696435,0.9000007251903154,0.8600017924487233
^VIX,gray,BTC=F,2810,-9321.980076764417,False,18667.960153528835,18739.25143067677,0.9988382201684431,0.9460770864875783
^VIX,plugin,BTC=F,2810,-9284.582506616012,False,18593.165013232025,18664.45629037996,0.999617138456455,0.9352028497376585
^VIX,quadrature,BTC=F,2810,-9503.12966945259,False,19030.25933890518,19101.550616053115,0.999181833522329,0.9587911452771349
^VIX,particle,BTC=F,2810,-11097.156813809812,True,22218.313627619624,22289.60490476756,0.900000000009559,0.860000003833168
GC=F,gray,BTC=F,2810,-1105.2210817904438,True,2234.4421635808876,2305.7334407288213,0.04819538919468796,0.0002
GC=F,plugin,BTC=F,2810,-884.6351469566895,True,1793.270293913379,1864.5615710613124,0.9849729857277965,0.0002
GC=F,quadrature,BTC=F,2810,-1129.5826236861508,True,2283.1652473723016,2354.4565245202352,0.0497546377433153,0.0002
GC=F,particle,BTC=F,2810,-3551.4129491237454,True,7126.825898247491,7198.117175395424,0.7999999768504263,0.799999933274965
CL=F,gray,BTC=F,2810,-5823.0465606396865,False,11670.093121279373,11741.384398427306,0.9997206148368762,0.8384184006455071
CL=F,plugin,BTC=F,2810,-3123.7995810758644,False,6271.599162151729,6342.890439299662,0.9999999922231524,0.17820095824498242
CL=F,quadrature,BTC=F,2810,-5823.0188226296605,True,11670.037645259321,11741.328922407254,0.9606042218428005,0.9999279685249338
CL=F,particle,BTC=F,2810,-5884.729182153212,False,11793.458364306423,11864.749641454357,0.9,0.86
