Asset,Method,T_obs,LogLik,Converged,AIC,BIC,Persist_S1,Persist_S2
^FTSE,gray,2810,-1014.9899632075383,True,2049.9799264150765,2109.3893240383545,0.9997654858301084,0.0002
^FTSE,plugin,2810,-753.0107795456207,True,1526.0215590912414,1585.4309567145194,0.0002,0.9943204377772188
^FTSE,quadrature,2810,-1044.0651416993883,True,2108.1302833987766,2167.5396810220545,0.9995346413667294,0.0002
^FTSE,particle,2810,-3030.6443257269284,True,6081.288651453857,6140.698049077135,0.8000007040821914,0.8000006918699643
^N225,gray,2810,-1523.4750705739284,True,3066.950141147857,3126.359538771135,0.9912294807665357,0.0002
^N225,plugin,2810,-1183.1004488066687,True,2386.2008976133375,2445.6102952366155,0.0002,0.9833024071778151
^N225,quadrature,2810,-1617.528868164683,True,3255.057736329366,3314.467133952644,0.9999280582508893,0.0002
^N225,particle,2810,-3946.3537507378473,True,7912.707501475695,7972.116899098973,0.7999999236829957,0.799999668415529
^IXIC,gray,2810,-4070.8618286773412,True,8161.7236573546825,8221.13305497796,0.9766352766154666,0.7560070857806305
^IXIC,plugin,2810,-1647.9731455008414,False,3315.9462910016828,3375.3556886249607,0.0004655834259868051,0.9941298394889126
^IXIC,quadrature,2810,-4186.0521015317245,False,8392.104203063449,8451.513600686727,0.9969139180311808,0.6951857002113674
^IXIC,particle,2810,-4274.182863762073,False,8568.365727524146,8627.775125147424,0.9,0.86
EEM,gray,2810,-3672.500744929917,False,7365.001489859834,7424.410887483112,0.9999633222468238,0.19669785762816408
EEM,plugin,2810,-1451.6899209992505,True,2923.379841998501,2982.789239621779,0.9980339658381465,0.0002
EEM,quadrature,2810,-1804.788629067185,True,3629.57725813437,3688.986655757648,0.9993151410839773,0.0002
EEM,particle,2810,-3993.8696040124787,True,8007.739208024957,8067.148605648235,0.800000011703868,0.7999999064859777
VTV,gray,2810,-1125.120596105941,True,2270.241192211882,2329.65058983516,0.9998782332253691,0.0002
VTV,plugin,2810,-835.7953517824901,True,1691.5907035649802,1751.0001011882582,0.9999894975690489,0.0005396233884165709
VTV,quadrature,2810,-1161.1318774815115,True,2342.263754963023,2401.673152586301,0.99851000629846,0.0002
VTV,particle,2810,-3185.812260808801,False,6391.624521617602,6451.03391924088,0.7999999999999999,0.8
^GSPC,gray,2810,-3333.747563145427,True,6687.495126290854,6746.904523914132,0.7855245263362011,0.9999658459217521
^GSPC,plugin,2810,-1054.817934465541,False,2129.635868931082,2189.04526655436,0.0002,0.9999959914973111
^GSPC,quadrature,2810,-1414.3462659990041,False,2848.6925319980082,2908.101929621286,0.999825319763407,0.0002
^GSPC,particle,2810,-3516.3547622630176,True,7052.709524526035,7112.118922149313,0.7999999945091438,0.7999999945091438
