Asset,Method,T_obs,LogLik,Converged,AIC,BIC,Persist_S1,Persist_S2
GBPUSD=X,gray,2810,-51.612226406791734,True,123.22445281358347,182.6338504368614,0.9992749347497051,0.0002
GBPUSD=X,plugin,2810,63.63781916482925,True,-107.2756383296585,-47.866240706380594,0.9904531832481899,0.0009908197189407773
GBPUSD=X,quadrature,2810,-76.24618462894439,True,172.49236925788878,231.90176688116668,0.9988826874306453,0.0002
GBPUSD=X,particle,2810,-2116.4851548255783,True,4252.970309651157,4312.379707274435,0.7999996828001408,0.8000002078484965
JPY=X,gray,2810,-64.72112363592151,False,149.44224727184303,208.85164489512096,0.9999590333212413,0.0002
JPY=X,plugin,2810,71.36175063775856,False,-122.72350127551712,-63.31410365223921,0.0002,0.9999919869469824
JPY=X,quadrature,2810,-78.13760783095721,True,176.27521566191442,235.6846132851923,0.9995586917489307,0.0002
JPY=X,particle,2810,-2108.906020167212,False,4237.812040334424,4297.221437957702,0.7999999999999999,0.8
AUDUSD=X,gray,2810,-510.71369486407343,True,1041.4273897281469,1100.8367873514248,0.0002,0.9999987804320741
AUDUSD=X,plugin,2810,-376.1379447146352,True,772.2758894292704,831.6852870525482,0.0002,0.986624521611334
AUDUSD=X,quadrature,2810,-540.0927378539583,True,1100.1854757079166,1159.5948733311945,0.9974125903556953,0.0002
AUDUSD=X,particle,2810,-2384.222150755143,True,4788.444301510286,4847.853699133564,0.8000001043123729,0.800000104312373
CHF=X,gray,2810,302.30051906163175,True,-584.6010381232635,-525.1916404999856,0.9963295727304992,0.0002
CHF=X,plugin,2810,372.12216103523116,True,-724.2443220704623,-664.8349244471844,0.9497881599508173,0.0002
CHF=X,quadrature,2810,286.8286692749386,True,-553.6573385498772,-494.24794092659926,0.9784126376381322,0.0002
CHF=X,particle,2810,-1913.4084976383594,False,3846.816995276719,3906.226392899997,0.7999999999999999,0.8
EURGBP=X,gray,2810,274.11236237849994,True,-528.2247247569999,-468.81532713372195,0.08375048421306802,0.0002
EURGBP=X,plugin,2810,557.1116326942855,True,-1094.223265388571,-1034.813867765293,0.9999979973802637,0.0002
EURGBP=X,quadrature,2810,252.2569851886949,True,-484.5139703773898,-425.10457275411187,0.0002,0.07976784540006078
EURGBP=X,particle,2810,-1878.740242809889,True,3777.480485619778,3836.889883243056,0.7999999876816536,0.8000000015417186
EURUSD=X,gray,2810,308.27760718364,True,-596.55521436728,-537.1458167440021,0.9991085513620097,0.0002
EURUSD=X,plugin,2810,399.99323652801337,True,-779.9864730560267,-720.5770754327489,0.9901692053231858,0.0002
EURUSD=X,quadrature,2810,291.54772606426974,True,-563.0954521285395,-503.68605450526155,0.9420981533843992,0.0002
EURUSD=X,particle,2810,-1893.041841508827,True,3806.083683017654,3865.493080640932,0.8000000124765075,0.799999992446193
