Asset,Method,c1,c2,g1,g2,w1,a1,b1,w2,a2,b2,p11,p22
GBPUSD=X,gray,0.00020035055866443534,-0.00015446076389049254,0.0,0.0,0.0948044456862285,0.1728847194664346,0.8263902152832705,0.0001,0.0001,0.0001,0.7521693772278562,0.4400779496684815
GBPUSD=X,plugin,-0.0014805080330568185,-0.00013663617737964942,0.0,0.0,0.012028182472365785,0.09045318324818981,0.9,0.0001,0.0001,0.0008908197189407774,0.7643309610333555,0.4823043542005856
GBPUSD=X,quadrature,-0.007891600678120248,-0.00019734094195636876,0.0,0.0,0.0001,0.10976519602710726,0.8891174914035381,0.0001,0.0001,0.0001,0.76267242016604,0.44829438821074097
GBPUSD=X,particle,1.0271262231274374e-06,1.0745064409068721e-06,0.0,0.0,0.10000036796819194,0.0999999232246236,0.6999997595755172,0.19999990768162984,0.20000015701423152,0.600000050834265,0.9000000730715275,0.8999998456156436
JPY=X,gray,0.045224086238153154,2.8013335869152993e-05,0.0,0.0,0.09193153597213453,0.1880749580453974,0.8118840752758438,0.0001,0.0001,0.0001,0.7804950064718219,0.42300160849176854
JPY=X,plugin,-0.00016439472402499054,0.01953011142550945,0.0,0.0,0.0001,0.0001,0.0001,0.03620999828222412,0.30563841285334126,0.6943535740936412,0.4975627009772845,0.7621259306090669
JPY=X,quadrature,0.023431655554248386,0.00037856020001386567,0.0,0.0,0.0010092514557374,0.2141669894398786,0.7853917023090522,0.0001,0.0001,0.0001,0.7634432087532989,0.3640188118534796
JPY=X,particle,0.0,0.0,0.0,0.0,0.1,0.1,0.7,0.2,0.2,0.6,0.9,0.9
AUDUSD=X,gray,-0.0003685543707746372,0.01247050202188777,0.0,0.0,0.0001,0.0001,0.0001,0.11898272360727398,0.09999878043207408,0.9,0.4327501536133893,0.7539701048020536
AUDUSD=X,plugin,-2.293807216994928e-05,-0.01581880585838265,0.0,0.0,0.0001,0.0001,0.0001,0.017353184140582095,0.08662452161133391,0.9,0.4712949202961658,0.7732030583100793
AUDUSD=X,quadrature,-0.0125698047530935,0.0003318228822952093,0.0,0.0,0.035041732622774144,0.16982873273696764,0.8275838576187277,0.0001,0.0001,0.0001,0.7514761839104797,0.40624184748720377
AUDUSD=X,particle,5.21040824108981e-06,-5.21040824108981e-06,0.0,0.0,0.09999989589604334,0.10000083366531858,0.6999992706470544,0.2000018757469668,0.20000072945715378,0.5999993748552193,0.9000000937873484,0.9000000937873484
CHF=X,gray,0.009351211654343819,0.0002718208169637489,0.0,0.0,0.0686749141043487,0.21632196803066736,0.7800076046998318,0.0001,0.0001,0.0001,0.7638359919692387,0.4720606555005904
CHF=X,plugin,-0.0005014198338704373,0.00017491334976769873,0.0,0.0,0.024421777055297904,0.1621964741446412,0.7875916858061761,0.0001,0.0001,0.0001,0.7654939932262489,0.48300765317624755
CHF=X,quadrature,0.0008253153837491753,0.0001796220117535728,0.0,0.0,0.0001,0.16702243646508888,0.8113902011730434,0.0001,0.0001,0.0001,0.7539238276578624,0.46999323577030755
CHF=X,particle,0.0,0.0,0.0,0.0,0.1,0.1,0.7,0.2,0.2,0.6,0.9,0.9
EURGBP=X,gray,0.004579715102510499,0.00029717493371928807,0.0,0.0,0.22370276087409377,0.080146141316554,0.0036043428965140275,0.0001,0.0001,0.0001,0.7493751961969672,0.49406931453427866
EURGBP=X,plugin,0.011437629398156183,0.00021476146727868298,0.0,0.0,0.0057361026473864134,0.09999799738026366,0.9,0.0001,0.0001,0.0001,0.8046048257822803,0.6120931919936622
EURGBP=X,quadrature,0.0003071620876435241,0.004376880936261564,0.0,0.0,0.0001,0.0001,0.0001,0.22387713321614977,0.07966784540006078,0.0001,0.4958536603086416,0.7477029217286411
EURGBP=X,particle,-7.700891740169177e-08,7.700891740169177e-08,0.0,0.0,0.09999999846136183,0.09999999846136183,0.6999999892202917,0.1999999969211835,0.1999999969211835,0.600000004620535,0.9000000013861605,0.9000000013861605
EURUSD=X,gray,-0.0040668947403037815,-0.0005157293616002605,0.0,0.0,0.06966546518150984,0.0991085513620097,0.9,0.0001,0.0001,0.0001,0.7488488714028827,0.49339133584484085
EURUSD=X,plugin,-0.008464073997829186,-7.239603701408947e-05,0.0,0.0,0.008559150211056465,0.09016920532318573,0.9,0.0001,0.0001,0.0001,0.7668539122738128,0.48150469778997074
EURUSD=X,quadrature,-0.004422208919563084,-6.299115798122247e-05,0.0,0.0,0.0001,0.11580880934945482,0.8262893440349444,0.0001,0.0001,0.0001,0.7519448906241042,0.4557268070357418
EURUSD=X,particle,-6.552221277599897e-07,-6.894628464602521e-07,0.0,0.0,0.09999996908941965,0.09999999904613825,0.7000000134303693,0.20000023509373574,0.20000007153238777,0.5999999209138053,0.8999998756211364,0.899999868251239
