Asset,Method,Pivot,T_obs,LogLik,Converged,AIC,BIC,Persist_S1,Persist_S2
GBPUSD=X,gray,EURUSD=X,2810,-54.16287266122785,True,132.3257453224557,203.6170224703892,0.0002,0.9998688845876331
GBPUSD=X,plugin,EURUSD=X,2810,63.75207423949694,True,-103.50414847899388,-32.212871331060384,0.9904708193217769,0.0009854798150058922
GBPUSD=X,quadrature,EURUSD=X,2810,-78.17150256677131,True,180.34300513354262,251.63428228147612,0.9967187990375249,0.0002
GBPUSD=X,particle,EURUSD=X,2810,-2120.493763744183,True,4264.987527488366,4336.278804636299,0.800000065350705,0.8000000783314927
JPY=X,gray,EURUSD=X,2810,-66.55830576208734,False,157.1166115241747,228.4078886721082,0.0002,0.9999919386346791
JPY=X,plugin,EURUSD=X,2810,63.15153668819459,False,-102.30307337638918,-31.01179622845568,0.0002,0.9999999900870478
JPY=X,quadrature,EURUSD=X,2810,-74.43218730002033,False,172.86437460004066,244.15565174797416,0.0002,0.9997109763510867
JPY=X,particle,EURUSD=X,2810,-2116.3533602098237,False,4256.706720419647,4327.997997567581,0.7999999999999999,0.8
AUDUSD=X,gray,EURUSD=X,2810,-509.75644892421315,True,1043.5128978484263,1114.8041749963597,0.9997461957763494,0.0002
AUDUSD=X,plugin,EURUSD=X,2810,-375.1000095948541,True,774.2000191897082,845.4912963376416,0.9868747769195341,0.0002
AUDUSD=X,quadrature,EURUSD=X,2810,-532.9042184947083,True,1089.8084369894166,1161.09971413735,0.9991696878357771,0.0002
AUDUSD=X,particle,EURUSD=X,2810,-2390.256632216433,True,4804.513264432866,4875.804541580799,0.7999999961441944,0.7999999967413345
CHF=X,gray,EURUSD=X,2810,303.3928648775633,True,-582.7857297551266,-511.49445260719307,0.9997965354122897,0.0002
CHF=X,plugin,EURUSD=X,2810,372.3497652265209,True,-720.6995304530418,-649.4082533051082,0.0002,0.9496768891362347
CHF=X,quadrature,EURUSD=X,2810,287.2232923580653,True,-550.4465847161306,-479.1553075681971,0.0002,0.9784504603732167
CHF=X,particle,EURUSD=X,2810,-1921.4064017231842,True,3866.8128034463684,3938.104080594302,0.8000000420849278,0.8000000042127012
EURGBP=X,gray,EURUSD=X,2810,274.4097712272349,True,-524.8195424544698,-453.5282653065363,0.0840716763477439,0.0002
EURGBP=X,plugin,EURUSD=X,2810,498.5568632062701,True,-973.1137264125402,-901.8224492646068,0.0002,0.9999594857595511
EURGBP=X,quadrature,EURUSD=X,2810,252.55153573669995,True,-481.1030714733999,-409.8117943254664,0.07983042593186945,0.0002
EURGBP=X,particle,EURUSD=X,2810,-1883.3739707155155,True,3790.747941431031,3862.0392185789647,0.8000000279819861,0.8000000279819861
