Asset,Method,Pivot,c1,c2,g1,g2,w1,a1,b1,w2,a2,b2,p11,p22
GBPUSD=X,gray,EURUSD=X,-0.00017691546313806274,-0.0019138409520289004,0.0007404747873163877,0.04006906807657968,0.0001,0.0001,0.0001,0.09870955212870694,0.149602281390949,0.8502666031966841,0.48264707090754677,0.7469664951872663
GBPUSD=X,plugin,EURUSD=X,-0.001470588786259512,-0.0001365710422288643,0.008564820036042996,0.00047703057044006344,0.012024313357544003,0.09047081932177692,0.9,0.0001,0.0001,0.0008854798150058923,0.7643500403147082,0.48222688554458804
GBPUSD=X,quadrature,EURUSD=X,0.0013713873872892815,6.201216292035311e-05,0.01771111688525654,0.0007045049627375833,0.018883431189649573,0.20022274501577275,0.7964960540217522,0.0001,0.0001,0.0001,0.7482821001149055,0.44112283962281845
GBPUSD=X,particle,EURUSD=X,3.9345449490953854e-07,-3.9208390541585763e-07,0.10000037882659622,0.09999959328077239,0.10000014571098673,0.10000005539708676,0.7000000099536182,0.20000013697243443,0.20000005491934872,0.600000023412144,0.8999999308331736,0.9000000017225596
JPY=X,gray,EURUSD=X,-5.5717174656446277e-05,0.03089719737181887,0.002488382737238735,-0.08093114181369443,0.0001,0.0001,0.0001,0.08752404868040417,0.23302827229131762,0.7669636663433614,0.419655082318095,0.7736169619611395
JPY=X,plugin,EURUSD=X,0.00014615491860230177,0.06819470343282763,0.002382173712172467,-0.03783701348730481,0.0001,0.0001,0.0001,0.035778675422261555,0.30580338882685054,0.6941966012601972,0.4986329746934572,0.782022540435805
JPY=X,quadrature,EURUSD=X,4.5340017032176975e-05,0.009525244178444945,0.0013650425877945118,-0.13347766784306694,0.0001,0.0001,0.0001,0.008489254944598571,0.177428801452043,0.8222821748990438,0.43309130347185565,0.7419063825281996
JPY=X,particle,EURUSD=X,0.0,0.0,0.1,0.1,0.1,0.1,0.7,0.2,0.2,0.6,0.9,0.9
AUDUSD=X,gray,EURUSD=X,-0.006816201159870971,0.00022054939344439456,-0.09284893308746672,-0.0011502399119575663,0.11999167502863406,0.09974619577634941,0.9,0.0001,0.0001,0.0001,0.7479493896159246,0.44197820582967046
AUDUSD=X,plugin,EURUSD=X,-0.01631683534836996,-2.3132968855488924e-05,-0.05258711446207269,-0.0006777949411053641,0.017256559576121603,0.08687477691953409,0.9,0.0001,0.0001,0.0001,0.7730821296479912,0.4711721541817117
AUDUSD=X,quadrature,EURUSD=X,-0.0015174478037560544,3.475673059774109e-05,-0.01347220990808703,-0.0011777508110044875,0.022611400689536956,0.1004231688561763,0.8987465189796008,0.0001,0.0001,0.0001,0.7532602648685717,0.4427493018382131
AUDUSD=X,particle,EURUSD=X,1.6275476426588432e-08,-1.723316984438044e-08,0.10000001581434853,0.0999999822538952,0.09999999894733913,0.09999999962291951,0.6999999965212749,0.19999999722483203,0.19999999885730668,0.5999999978840278,0.8999999995336919,0.8999999969880826
CHF=X,gray,EURUSD=X,-0.0038591364464957492,7.078506040638757e-06,0.017180521416726744,0.0007083121285740363,0.0715404407045994,0.20244456809012265,0.7973519673221671,0.0001,0.0001,0.0001,0.755957381487744,0.4637897835670933
CHF=X,plugin,EURUSD=X,0.00018001577915269763,-0.0005171900564834952,0.0003787586897098981,-0.016385860577817837,0.0001,0.0001,0.0001,0.02438165335059263,0.16152590113444817,0.7881509880017865,0.4830679656371889,0.7654072913704315
CHF=X,quadrature,EURUSD=X,0.00018875753416066165,0.0005637244641592453,0.0005934532418727401,-0.02230849938249899,0.0001,0.0001,0.0001,0.0001,0.1667132466653288,0.8117372137078879,0.46969467415193955,0.7537114567706353
CHF=X,particle,EURUSD=X,-2.1042463964896689e-07,2.1042463964896689e-07,0.09999978536686756,0.10000020621614686,0.09999999579571571,0.10000003366794236,0.7000000084169855,0.19999999158722293,0.19999999158722293,0.6000000126254783,0.8999999625444142,0.8999999625444142
EURGBP=X,gray,EURUSD=X,0.004487570518967788,0.0002954930230268999,-0.020831678204841032,-0.00021791013202376142,0.2235369606166036,0.08052355112251904,0.00354812522522487,0.0001,0.0001,0.0001,0.7494039503410618,0.49436502248409525
EURGBP=X,plugin,EURUSD=X,0.0002820756528334372,-0.04084270642540047,-0.000852516968009858,0.010327768672484297,0.0001,0.0001,0.0001,0.019007492673951,0.23871106407398357,0.7612484216855675,0.3546766680864866,0.7668520407758979
EURGBP=X,quadrature,EURUSD=X,0.004623053389923975,0.00030510238861592283,-0.020960944342472622,-0.00020317693788478902,0.22368582542085866,0.07973042593186945,0.0001,0.0001,0.0001,0.0001,0.7478719657799919,0.4957891252460197
EURGBP=X,particle,EURUSD=X,1.397701604844703e-06,-1.397701604844703e-06,0.09999857434436306,0.10000136974757275,0.09999997207392194,0.10000022363225677,0.6999998043497293,0.19999994411988986,0.2000001956782247,0.5999998323037614,0.9000000251586289,0.8999997512091144
